,0,forecast
0,2023-02-13,22788.05655910005
1,2023-02-14,22978.895793600066
2,2023-02-15,22713.21428577334
3,2023-02-16,23143.10647709889
4,2023-02-17,23071.45160738565
5,2023-02-20,23116.552751400333
6,2023-02-21,23072.122720924788
7,2023-02-22,23753.492726288387
8,2023-02-23,22897.590002636076
9,2023-02-24,23169.560692858882
10,2023-02-27,23704.09259864886
11,2023-02-28,23473.455559883092
12,2023-03-01,23452.281542025856
13,2023-03-02,23347.703539151233
14,2023-03-03,23001.228446555906
